#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   1.64035    -55.019767  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.63004    -55.019780  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.61974    -55.019798  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.60943    -55.019820  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.59913    -55.019847  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.58883    -55.019878  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.57852    -55.019912  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.56822    -55.019951  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.55791    -55.019994  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.54761    -55.020040  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.53730    -55.020090  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.52700    -55.020143  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.51670    -55.020198  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.50639    -55.020256  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.49609    -55.020317  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.48578    -55.020380  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.47548    -55.020445  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
